Mean,Top1,Top5,Top10,Pos
2.3601,76.5734,92.6573,96.5035,140.0
2.1655,59.0909,95.1049,97.4359,141.0
1.1655,90.9722,98.9583,100.0,142.0
1.0,100.0,100.0,100.0,143.0
1.0,100.0,100.0,100.0,144.0
1.0884,91.1565,100.0,100.0,145.0
1.5445,67.8082,96.2329,100.0,146.0
1.051,95.9184,100.0,100.0,147.0
1.3571,84.0136,98.9796,99.3197,148.0
1.0714,95.805,99.6599,100.0,149.0
1.1622,83.7838,100.0,100.0,150.0
1.0,100.0,100.0,100.0,151.0
2.6054,66.6667,91.4966,95.2381,152.0
1.4932,74.3243,97.2973,99.6622,153.0
1.2852,83.2215,99.7763,100.0,154.0
2.027,75.6757,91.5541,95.9459,155.0
1.0133,99.6667,100.0,100.0,156.0
1.1022,92.8889,99.7778,100.0,157.0
1.5143,72.6269,97.351,98.6755,158.0
1.6402,47.4614,100.0,100.0,159.0
1.0033,99.6689,100.0,100.0,160.0
1.0265,97.351,100.0,100.0,161.0
1.5033,49.6689,100.0,100.0,162.0
1.1349,86.5132,100.0,100.0,163.0
1.5839,74.0741,97.3856,98.0392,164.0
1.539,46.1039,100.0,100.0,165.0
1.4416,59.0909,100.0,100.0,166.0
1.4032,59.6774,100.0,100.0,167.0
1.5227,51.2987,100.0,100.0,168.0
1.3567,67.5159,100.0,100.0,169.0
1.8322,67.7632,97.0395,98.6842,170.0
2.2166,62.3142,92.3036,98.2484,171.0
1.4363,59.3418,100.0,100.0,172.0
1.691,77.289,97.711,98.7869,173.0
3.2515,26.4375,86.4271,97.5625,174.0
1.0406,97.8125,100.0,100.0,175.0
1.0,100.0,100.0,100.0,176.0
1.4031,65.3125,100.0,100.0,177.0
1.5562,44.375,100.0,100.0,178.0
3.2797,25.7292,85.625,98.4375,179.0
1.0309,96.9136,100.0,100.0,180.0
1.4024,60.9756,100.0,100.0,181.0
1.0,100.0,100.0,100.0,182.0
1.7904,70.3476,94.4785,97.546,183.0
1.5576,83.0303,94.5455,100.0,184.0
1.0301,96.988,100.0,100.0,185.0
2.0299,80.8383,93.4132,97.006,186.0
1.0179,98.2143,100.0,100.0,187.0
1.5927,50.3945,100.0,100.0,188.0
1.6667,57.3373,98.6686,98.8166,189.0
1.1794,92.7451,98.6275,99.7059,190.0
1.0,100.0,100.0,100.0,191.0
1.39,66.6182,100.0,100.0,192.0
1.8474,75.0484,94.9612,98.595,193.0
1.4966,57.4663,99.7592,100.0,194.0
1.0491,97.6879,99.711,100.0,195.0
2.5606,31.9767,96.9961,98.8372,196.0
1.0632,96.5517,100.0,100.0,197.0
1.04,96.0,100.0,100.0,198.0
1.0,100.0,100.0,100.0,199.0
1.0057,99.4318,100.0,100.0,200.0
1.339,69.209,100.0,100.0,201.0
1.0284,97.1591,100.0,100.0,202.0
1.2853,81.3559,99.1525,100.0,203.0
1.7013,55.618,100.0,100.0,204.0
1.298,76.3035,99.2551,100.0,205.0
1.4435,60.7345,100.0,100.0,206.0
1.0,100.0,100.0,100.0,207.0
1.4576,62.523,99.8158,99.8158,208.0
2.5989,65.9341,88.8278,97.5275,209.0
2.989,57.919,89.6869,95.3039,210.0
1.1105,96.4088,99.1713,99.4475,211.0
1.2405,77.1622,100.0,100.0,212.0
1.9486,44.0541,100.0,100.0,213.0
1.413,78.1876,99.5446,100.0,214.0
1.6443,45.8781,100.0,100.0,215.0
1.0717,94.3548,100.0,100.0,216.0
1.3333,69.6237,100.0,100.0,217.0
1.5514,79.1892,96.4865,98.9189,218.0
1.3329,85.0713,97.9501,100.0,219.0
5.8547,51.1384,76.0929,85.1093,220.0
1.1176,90.9091,99.7326,100.0,221.0
1.4074,59.2593,100.0,100.0,222.0
2.1274,77.1379,93.281,96.7714,223.0
1.0026,99.7382,100.0,100.0,224.0
2.1729,34.0925,98.7609,100.0,225.0
1.233,91.623,98.4293,99.4764,226.0
1.306,86.8924,99.2188,99.8264,227.0
1.1684,94.0415,98.4456,99.7409,228.0
1.5547,47.8299,100.0,100.0,229.0
1.5,50.0,100.0,100.0,230.0
1.0515,95.1031,100.0,100.0,231.0
4.9719,51.1054,77.381,85.4592,232.0
1.1869,94.4444,98.9899,99.7475,233.0
2.2811,58.5017,93.4343,98.9899,234.0
2.8644,81.6489,89.8936,91.4894,235.0
1.6449,81.5327,94.9749,98.0737,236.0
1.115,94.5,99.5,100.0,237.0
1.5175,51.6667,99.5833,100.0,238.0
2.5328,69.7811,94.8653,96.1279,239.0
1.5192,79.2447,95.8785,100.0,240.0
1.1256,94.8276,99.5074,99.5074,241.0
1.473,59.3137,99.5098,100.0,242.0
1.578,55.0654,99.2647,100.0,243.0
1.4659,53.4146,100.0,100.0,244.0
3.4811,63.5528,85.4146,93.9268,245.0
1.0,100.0,100.0,100.0,246.0
1.5283,82.6861,96.1974,100.0,247.0
1.3819,70.7929,99.1909,99.8382,248.0
1.0,100.0,100.0,100.0,249.0
1.2464,91.866,98.5646,100.0,250.0
1.0,100.0,100.0,100.0,251.0
1.0236,98.8208,100.0,100.0,252.0
1.1415,88.2075,100.0,100.0,253.0
1.0188,99.061,100.0,100.0,254.0
1.4859,76.6823,97.8873,99.061,255.0
2.2621,44.3271,95.7355,100.0,256.0
1.3721,88.1395,97.907,99.7674,257.0
4.0549,43.5748,80.4517,90.2648,258.0
1.037,98.1481,99.537,100.0,259.0
1.0,100.0,100.0,100.0,260.0
1.1636,91.2773,99.2991,100.0,261.0
2.7917,49.0741,89.8148,95.8333,262.0
2.0485,32.3777,100.0,100.0,263.0
2.8415,43.6621,91.7005,95.3713,264.0
1.3035,81.1162,99.3119,99.7706,265.0
1.5965,66.8265,99.7717,100.0,266.0
2.6551,62.8264,90.8602,96.3134,267.0
1.0,100.0,100.0,100.0,268.0
2.3371,54.6131,93.6756,96.9494,269.0
1.3921,86.3095,97.7679,99.1071,270.0
1.0,100.0,100.0,100.0,271.0
1.0306,97.1616,100.0,100.0,272.0
1.2326,76.7391,100.0,100.0,273.0
1.9793,48.8355,95.6332,97.3799,274.0
2.0561,66.7826,94.0435,97.6449,275.0
1.6652,58.1884,98.7681,100.0,276.0
1.4913,82.3188,98.0435,99.5652,277.0
1.5025,85.57,96.645,99.3146,278.0
1.1352,86.6953,100.0,100.0,279.0
1.4131,59.428,100.0,100.0,280.0
1.8234,79.0071,94.1844,97.8723,281.0
1.6106,63.0496,98.156,99.1489,282.0
2.5273,35.9244,95.5882,98.5294,283.0
3.6462,69.1384,85.5932,92.161,284.0
1.4938,50.6173,100.0,100.0,285.0
2.3783,66.1134,92.1162,95.574,286.0
1.4426,89.6858,97.1311,98.4973,287.0
1.5359,64.679,98.8934,100.0,288.0
1.4755,79.7279,97.619,99.7959,289.0
1.3299,87.3306,98.8482,99.5935,290.0
1.5305,46.9512,100.0,100.0,291.0
1.0081,99.5951,100.0,100.0,292.0
5.1059,58.7432,85.2459,90.847,293.0
1.0161,98.7952,100.0,100.0,294.0
1.084,91.6,100.0,100.0,295.0
3.9474,60.7422,89.4265,91.7341,296.0
2.0027,55.2878,95.1807,99.1968,297.0
2.0795,45.8898,97.3373,99.5086,298.0
3.8882,55.1491,87.2629,91.1247,299.0
1.0,100.0,100.0,100.0,300.0
1.581,62.4506,100.0,100.0,301.0
2.0449,34.0551,100.0,100.0,302.0
1.0534,96.4427,99.8024,100.0,303.0
2.252,74.6032,92.8571,96.627,304.0
1.0118,99.2126,100.0,100.0,305.0
1.1321,91.2791,99.8062,100.0,306.0
3.0077,68.7902,87.7091,93.1145,307.0
2.0946,61.1326,95.6885,96.5894,308.0
1.0259,98.4217,100.0,100.0,309.0
1.0229,99.0458,100.0,100.0,310.0
1.0934,93.1447,99.9057,100.0,311.0
1.0075,99.2537,100.0,100.0,312.0
1.0019,99.8134,100.0,100.0,313.0
1.943,43.6493,98.2962,100.0,314.0
1.0,100.0,100.0,100.0,315.0
1.2481,83.8889,99.4444,99.4444,316.0
1.363,81.4665,97.8351,99.8854,317.0
1.363,65.3704,100.0,100.0,318.0
1.4852,51.476,100.0,100.0,319.0
1.0,100.0,100.0,100.0,320.0
1.0,100.0,100.0,100.0,321.0
1.1141,89.3116,100.0,100.0,322.0
1.7083,79.3478,93.6594,98.5507,323.0
1.8675,62.7592,94.1233,98.7451,324.0
1.1582,92.0578,98.7966,100.0,325.0
1.0,100.0,100.0,100.0,326.0
1.1457,86.6906,100.0,100.0,327.0
3.1956,49.5196,86.7794,94.917,328.0
1.4555,54.4484,100.0,100.0,329.0
1.3221,67.9122,100.0,100.0,330.0
1.7961,65.502,96.3803,98.1702,331.0
1.0017,99.8258,100.0,100.0,332.0
4.1355,32.2552,73.8345,92.5408,333.0
1.0,100.0,100.0,100.0,334.0
1.1713,85.4671,99.654,100.0,335.0
3.4602,65.7439,84.7751,91.5225,336.0
1.0102,99.1525,100.0,100.0,337.0
2.5856,72.8458,88.7188,95.4649,338.0
1.0186,98.4797,100.0,100.0,339.0
1.1549,93.5466,99.6633,100.0,340.0
1.3638,66.4452,99.6678,100.0,341.0
2.7609,63.7734,92.6183,95.6106,342.0
1.7354,62.638,97.4338,99.6689,343.0
1.1188,92.4092,99.67,100.0,344.0
1.4523,55.7566,100.0,100.0,345.0
1.5784,57.4013,100.0,100.0,346.0
2.0967,70.3388,94.4044,97.5464,347.0
1.7712,59.6405,96.732,99.2375,348.0
2.3565,27.3148,99.7821,100.0,349.0
2.3448,75.3289,89.2544,95.6689,350.0
1.4613,56.4935,99.8377,100.0,351.0
1.0,100.0,100.0,100.0,352.0
2.4477,64.0795,92.6743,97.1405,353.0
1.0,100.0,100.0,100.0,354.0
1.0,100.0,100.0,100.0,355.0
1.5663,78.2632,97.1413,99.2718,356.0
1.5895,75.5804,96.6187,99.9361,357.0
1.0016,99.8408,100.0,100.0,358.0
1.422,57.9618,100.0,100.0,359.0
1.0381,96.1905,100.0,100.0,360.0
1.0127,98.8889,100.0,100.0,361.0
1.7519,53.0159,98.0952,99.8942,362.0
1.2257,90.7524,98.5893,99.6865,363.0
1.9743,47.7749,97.0688,98.8542,364.0
1.0571,97.3001,99.8442,100.0,365.0
1.4658,53.4161,100.0,100.0,366.0
1.8318,50.8539,97.6235,99.8457,367.0
1.0194,98.7768,100.0,100.0,368.0
1.5831,48.6829,100.0,100.0,369.0
1.0302,97.8913,100.0,100.0,370.0
1.4955,50.5539,100.0,100.0,371.0
1.6959,60.2216,98.0866,99.1944,372.0
2.0766,43.6245,97.239,100.0,373.0
1.5301,73.7952,98.1928,99.0964,374.0
1.0,100.0,100.0,100.0,375.0
5.0792,52.6724,85.629,89.8507,376.0
1.0,100.0,100.0,100.0,377.0
1.3304,67.2566,100.0,100.0,378.0
1.0118,99.5575,100.0,100.0,379.0
1.5444,72.2794,98.0882,99.902,380.0
1.5569,63.7097,99.7556,100.0,381.0
1.8406,58.2359,96.8811,97.8558,382.0
1.618,69.477,97.5806,99.3157,383.0
1.0346,99.2795,99.7118,99.7118,384.0
1.2981,91.6908,98.0193,99.7101,385.0
2.0857,79.023,91.954,96.3123,386.0
1.0,100.0,100.0,100.0,387.0
1.4531,54.6875,100.0,100.0,388.0
1.0155,99.1549,100.0,100.0,389.0
1.0,100.0,100.0,100.0,390.0
1.0,100.0,100.0,100.0,391.0
1.8052,53.0282,97.9577,99.4836,392.0
1.2775,86.5922,99.0689,99.6276,393.0
1.9027,73.6499,95.1117,97.9981,394.0
1.4256,80.5785,98.7603,99.1736,395.0
5.8564,41.3904,79.8343,88.1446,396.0
1.0473,96.7568,100.0,100.0,397.0
1.5255,67.7195,99.6416,100.0,398.0
1.0,100.0,100.0,100.0,399.0
1.0545,96.5426,100.0,100.0,400.0
1.3652,78.2801,98.5816,100.0,401.0
1.0253,99.0691,100.0,100.0,402.0
1.8439,40.0794,100.0,100.0,403.0
1.1398,86.0158,100.0,100.0,404.0
1.0,100.0,100.0,100.0,405.0
1.3482,84.555,98.1675,99.2147,406.0
1.7945,46.4372,98.8528,99.7619,407.0
2.1084,48.3808,95.2288,99.7409,408.0
1.5461,80.7006,96.7581,98.9991,409.0
1.8484,70.4663,95.0777,98.3161,410.0
1.0,100.0,100.0,100.0,411.0
1.0308,99.2308,99.6154,100.0,412.0
