Mean,Top1,Top5,Top10,Pos
2.014,77.7972,92.6573,97.9021,142.0
1.8664,42.1233,96.2329,99.3151,143.0
1.6261,66.8379,99.8288,100.0,144.0
1.462,86.5213,96.5884,98.8814,145.0
1.0358,98.434,99.6644,100.0,146.0
2.6815,66.0959,89.0411,95.8904,147.0
4.5537,43.9597,80.8725,88.255,148.0
1.24,94.0,98.0,100.0,149.0
1.3642,63.5762,100.0,100.0,150.0
1.0,100.0,100.0,100.0,151.0
1.0,100.0,100.0,100.0,152.0
1.0,100.0,100.0,100.0,153.0
2.7317,63.8128,92.8082,94.1781,154.0
2.9457,45.5519,85.1104,97.5828,155.0
1.0132,98.6755,100.0,100.0,156.0
1.402,60.7843,100.0,100.0,157.0
1.0,100.0,100.0,100.0,158.0
1.0065,99.3548,100.0,100.0,159.0
1.2105,94.3376,98.0769,99.359,160.0
1.2739,83.758,98.7261,100.0,161.0
1.6911,82.8025,95.5414,98.7261,162.0
1.0032,99.6835,100.0,100.0,163.0
1.0127,98.7342,100.0,100.0,164.0
1.1297,93.3544,100.0,100.0,165.0
1.1139,96.097,99.3671,99.3671,166.0
1.2091,80.3459,100.0,100.0,167.0
1.0688,95.0,100.0,100.0,168.0
1.0,100.0,100.0,100.0,169.0
1.3375,66.25,100.0,100.0,170.0
1.025,99.1667,100.0,100.0,171.0
1.4414,89.8148,98.1481,98.7654,172.0
2.4074,54.9383,99.3827,100.0,173.0
1.0061,99.3865,100.0,100.0,174.0
1.0123,98.773,100.0,100.0,175.0
1.0215,99.0798,99.6933,100.0,176.0
1.061,96.9512,100.0,100.0,177.0
1.1273,89.697,100.0,100.0,178.0
1.3994,91.1585,96.0366,98.4756,179.0
1.0364,96.3636,100.0,100.0,180.0
1.006,99.6988,100.0,100.0,181.0
1.3514,69.3775,99.2972,100.0,182.0
1.2904,88.9222,100.0,100.0,183.0
1.0419,97.3054,100.0,100.0,184.0
1.0539,98.2036,100.0,100.0,185.0
1.0,100.0,100.0,100.0,186.0
1.5322,80.9942,95.9064,100.0,187.0
1.3953,86.0465,98.2558,100.0,188.0
1.3178,95.2519,97.6744,99.031,189.0
1.3857,91.1822,97.093,99.4186,190.0
1.0867,95.9538,99.711,100.0,191.0
1.4518,74.1811,99.422,100.0,192.0
1.1322,95.6897,100.0,100.0,193.0
3.1536,28.1226,90.3065,96.8199,194.0
1.2586,88.5057,98.8506,100.0,195.0
1.3786,67.341,100.0,100.0,196.0
1.1847,87.2159,100.0,100.0,197.0
1.0028,99.7175,100.0,100.0,198.0
1.0101,99.4162,100.0,100.0,199.0
1.4746,81.3559,97.7401,98.7759,200.0
1.1255,94.6161,100.0,100.0,201.0
2.7486,61.9048,87.4286,97.1429,202.0
1.6461,58.427,97.191,100.0,203.0
1.3212,88.8268,97.486,99.162,204.0
1.6173,56.7039,99.4413,100.0,205.0
1.0,100.0,100.0,100.0,206.0
2.9006,71.2707,83.1492,93.0939,207.0
1.0055,99.4475,100.0,100.0,208.0
1.0,100.0,100.0,100.0,209.0
1.6209,67.033,100.0,100.0,210.0
1.0,100.0,100.0,100.0,211.0
1.8169,62.8415,95.6284,97.8142,212.0
1.0,100.0,100.0,100.0,213.0
1.1793,95.6522,98.3696,98.913,214.0
1.0,100.0,100.0,100.0,215.0
1.0,100.0,100.0,100.0,216.0
1.0349,96.5054,100.0,100.0,217.0
1.0296,97.3118,100.0,100.0,218.0
1.0794,94.1799,100.0,100.0,219.0
1.2158,94.8246,97.9825,99.386,220.0
2.1776,67.9386,93.5088,97.9825,221.0
1.2211,77.8947,100.0,100.0,222.0
3.1056,62.0419,90.5759,91.623,223.0
1.026,99.4792,99.4792,100.0,224.0
1.0711,97.2807,99.4737,100.0,225.0
1.0,100.0,100.0,100.0,226.0
1.0722,94.8454,99.7423,100.0,227.0
5.9585,39.0017,71.6582,83.7563,228.0
3.0642,74.2772,89.3282,92.5595,229.0
1.025,99.5,99.5,100.0,230.0
2.4692,76.0833,91.0,94.5,231.0
1.4517,88.3333,97.1667,98.8333,232.0
1.0625,95.5,100.0,100.0,233.0
1.1143,93.9417,99.25,100.0,234.0
3.3182,50.7576,83.0808,93.4343,235.0
1.0297,97.7723,100.0,100.0,236.0
2.3852,52.6534,89.3035,99.005,237.0
1.7179,71.0256,97.0513,99.4872,238.0
1.3621,66.5025,100.0,100.0,239.0
1.0392,98.0392,99.5098,100.0,240.0
1.0539,97.549,100.0,100.0,241.0
1.022,97.8049,100.0,100.0,242.0
1.0073,99.2683,100.0,100.0,243.0
1.0341,99.0244,100.0,100.0,244.0
1.4223,87.1359,97.8155,98.301,245.0
1.0,100.0,100.0,100.0,246.0
1.0,100.0,100.0,100.0,247.0
4.0742,64.0,83.8333,90.3333,248.0
5.1196,49.6377,75.4831,83.9372,249.0
1.2548,90.873,98.4921,99.7619,250.0
2.6725,74.0,90.0,92.75,251.0
1.0,100.0,100.0,100.0,252.0
1.6071,85.0,95.4762,98.3333,253.0
2.89,42.185,93.4609,95.7735,254.0
1.0063,99.3711,100.0,100.0,255.0
1.3557,87.5,97.1698,99.6462,256.0
