Mean,Top1,Top5,Top10,Pos
1.0,100.0,100.0,100.0,141.0
1.1986,84.589,100.0,100.0,142.0
1.0205,97.9452,100.0,100.0,143.0
1.476,65.0685,98.9726,99.3151,144.0
1.0,100.0,100.0,100.0,145.0
1.0068,99.3243,100.0,100.0,146.0
1.3581,68.2432,100.0,100.0,147.0
1.0608,95.9459,100.0,100.0,148.0
1.5168,48.3221,100.0,100.0,149.0
1.0,100.0,100.0,100.0,150.0
1.0067,99.3333,100.0,100.0,151.0
1.0,100.0,100.0,100.0,152.0
1.5922,70.1111,99.6667,100.0,153.0
1.053,98.6755,99.3377,100.0,154.0
1.2852,92.2819,97.651,99.6644,155.0
1.0132,99.4702,100.0,100.0,156.0
1.0526,97.3684,99.3421,100.0,157.0
1.1285,96.0784,99.0196,100.0,158.0
1.0065,99.3464,100.0,100.0,159.0
1.3629,82.3465,99.5614,100.0,160.0
1.8965,74.3028,94.0523,98.4532,161.0
1.0,100.0,100.0,100.0,162.0
1.1699,83.6601,100.0,100.0,163.0
1.8546,69.281,96.2418,98.5294,164.0
1.013,98.7013,100.0,100.0,165.0
1.0,100.0,100.0,100.0,166.0
1.3452,78.3871,100.0,100.0,167.0
1.2739,87.2611,98.7261,100.0,168.0
1.687,82.6923,94.6581,98.7179,169.0
1.1582,91.2447,99.1561,100.0,170.0
1.218,92.2432,98.0084,100.0,171.0
1.05,97.7083,99.7917,100.0,172.0
1.0925,95.1875,100.0,100.0,173.0
1.2143,83.5404,100.0,100.0,174.0
1.0976,97.3381,99.3789,99.3789,175.0
1.5155,57.764,100.0,100.0,176.0
1.5714,42.8571,100.0,100.0,177.0
2.8139,42.638,92.3313,96.9325,178.0
1.227,88.6503,98.6196,99.2331,179.0
1.2805,71.9512,100.0,100.0,180.0
1.0244,97.561,100.0,100.0,181.0
1.7987,80.1887,94.6541,97.1698,182.0
1.125,95.122,99.6951,99.6951,183.0
1.0061,99.3939,100.0,100.0,184.0
1.0667,96.3636,100.0,100.0,185.0
1.2551,92.4797,98.7805,98.7805,186.0
1.104,94.4444,99.596,99.798,187.0
1.0479,96.4072,100.0,100.0,188.0
1.0519,97.6048,100.0,100.0,189.0
1.0337,99.2063,99.8016,100.0,190.0
1.0,100.0,100.0,100.0,191.0
1.2134,88.7195,98.7805,100.0,192.0
1.2651,84.0361,100.0,100.0,193.0
1.05,95.0,100.0,100.0,194.0
1.0877,92.3977,100.0,100.0,195.0
1.4441,70.2941,97.6471,100.0,196.0
1.5941,79.1176,94.7059,98.8235,197.0
1.0,100.0,100.0,100.0,198.0
1.0424,97.0617,100.0,100.0,199.0
1.0,100.0,100.0,100.0,200.0
1.3642,70.8092,99.711,100.0,201.0
1.6264,46.8391,100.0,100.0,202.0
1.4075,93.0636,97.6879,98.8439,203.0
1.039,96.4762,100.0,100.0,204.0
1.1086,91.4286,100.0,100.0,205.0
1.88,78.8571,92.2857,97.4286,206.0
1.777,80.6358,94.1715,98.6513,207.0
1.4602,83.2386,97.4432,100.0,208.0
1.2388,94.6629,97.7528,99.4382,209.0
1.113,90.3955,99.7175,100.0,210.0
1.0,100.0,100.0,100.0,211.0
2.3625,69.3056,91.6667,98.3333,212.0
1.0,100.0,100.0,100.0,213.0
1.0162,98.3784,100.0,100.0,214.0
1.0455,97.5936,100.0,100.0,215.0
1.0,100.0,100.0,100.0,216.0
1.0626,96.016,100.0,100.0,217.0
1.0638,94.9468,100.0,100.0,218.0
1.5401,52.6738,100.0,100.0,219.0
1.1935,83.3333,100.0,100.0,220.0
1.0,100.0,100.0,100.0,221.0
1.9184,79.1667,93.883,96.0106,222.0
1.0311,96.8912,100.0,100.0,223.0
1.0052,99.4819,100.0,100.0,224.0
1.4725,83.1615,95.9622,99.8282,225.0
2.4503,53.6649,93.4555,96.8586,226.0
2.5769,53.9724,91.1917,96.6321,227.0
1.0438,98.1959,100.0,100.0,228.0
2.3718,58.2906,92.3077,100.0,229.0
1.0153,98.4694,100.0,100.0,230.0
1.0629,97.2789,100.0,100.0,231.0
4.0966,55.4233,79.6296,90.4762,232.0
1.1735,90.3061,99.4898,100.0,233.0
1.0,100.0,100.0,100.0,234.0
1.0254,97.9695,100.0,100.0,235.0
1.0151,99.4975,100.0,100.0,236.0
1.9388,78.8265,92.8571,96.4286,237.0
1.0854,92.4623,100.0,100.0,238.0
1.0,100.0,100.0,100.0,239.0
1.3643,89.196,97.4874,99.2462,240.0
1.0,100.0,100.0,100.0,241.0
3.4906,65.7744,85.1515,90.4545,242.0
1.0099,99.505,100.0,100.0,243.0
4.8108,55.9167,82.3333,89.5833,244.0
2.4241,74.9175,93.3168,96.5347,245.0
1.0244,99.5122,99.5122,100.0,246.0
1.1778,94.1574,97.9369,99.5146,247.0
2.6173,81.1224,90.3061,94.6429,248.0
1.017,99.0291,100.0,100.0,249.0
1.1578,94.6602,98.5437,100.0,250.0
1.1226,93.9904,99.2788,100.0,251.0
3.1803,67.678,86.8689,95.1537,252.0
1.0,100.0,100.0,100.0,253.0
2.1813,68.5366,95.2033,97.0732,254.0
1.2657,94.4444,98.0676,99.0338,255.0
1.3987,87.3206,98.0861,99.4019,256.0
1.0905,98.0952,99.0476,99.5238,257.0
1.2201,88.2775,99.2823,99.7608,258.0
1.2407,93.6916,96.9626,100.0,259.0
1.3814,67.6744,99.7674,100.0,260.0
1.0,100.0,100.0,100.0,261.0
1.8556,63.5177,94.9309,99.5392,262.0
1.3195,83.4869,99.0015,99.1551,263.0
1.2614,91.1364,100.0,100.0,264.0
1.4114,92.5,96.1364,99.3182,265.0
2.2152,67.2775,92.6621,96.7421,266.0
2.5233,74.7748,89.5646,95.045,267.0
1.0045,99.5516,100.0,100.0,268.0
1.0269,97.7578,100.0,100.0,269.0
1.2367,80.9735,99.5575,100.0,270.0
2.3422,40.4444,96.8889,99.1111,271.0
1.0,100.0,100.0,100.0,272.0
1.7665,71.5873,93.5786,99.1342,273.0
1.5739,87.6087,96.3043,98.4783,274.0
1.1481,89.485,99.5708,100.0,275.0
1.0,100.0,100.0,100.0,276.0
1.1857,86.4979,98.7342,100.0,277.0
1.2504,89.2405,98.8045,99.6484,278.0
1.0987,90.1261,100.0,100.0,279.0
1.0,100.0,100.0,100.0,280.0
1.0,100.0,100.0,100.0,281.0
1.0041,99.5868,100.0,100.0,282.0
1.2231,90.4959,99.1736,100.0,283.0
1.0041,99.5885,100.0,100.0,284.0
1.2107,91.7355,98.3471,99.5868,285.0
1.9529,50.8197,95.4918,97.541,286.0
