Mean,Top1,Top5,Top10,Pos
2.4712,62.4413,92.6056,96.831,141.0
2.5804,48.7179,91.7832,97.9021,142.0
1.9007,39.9543,96.5753,99.3151,143.0
1.8134,55.3082,99.8288,100.0,144.0
2.1874,39.5414,96.4206,98.8814,145.0
1.0772,95.8613,99.4407,100.0,146.0
2.6849,64.3836,88.6986,95.8904,147.0
5.1935,41.1633,78.0761,86.1298,148.0
1.74,48.3333,96.6667,100.0,149.0
1.5,50.0,100.0,100.0,150.0
1.0,100.0,100.0,100.0,151.0
1.0,100.0,100.0,100.0,152.0
1.0,100.0,100.0,100.0,153.0
2.7226,63.9269,92.1233,95.2055,154.0
3.393,20.2759,84.117,97.5497,155.0
1.4338,58.3885,100.0,100.0,156.0
1.4118,59.8039,100.0,100.0,157.0
1.0,100.0,100.0,100.0,158.0
1.0065,99.3548,100.0,100.0,159.0
1.3088,87.0192,98.0769,99.359,160.0
1.3217,81.2102,98.4076,100.0,161.0
1.793,80.8917,94.9045,98.4076,162.0
1.0316,97.1519,100.0,100.0,163.0
1.019,98.1013,100.0,100.0,164.0
1.5316,53.7975,100.0,100.0,165.0
1.5538,59.8945,99.3671,99.3671,166.0
1.4748,57.914,99.8428,100.0,167.0
1.0688,95.0,100.0,100.0,168.0
1.0031,99.6875,100.0,100.0,169.0
1.3802,63.4375,99.7917,100.0,170.0
1.425,59.5833,100.0,100.0,171.0
1.392,90.1235,97.8395,98.7654,172.0
2.8858,22.7366,99.3827,100.0,173.0
1.0726,94.9898,99.591,100.0,174.0
1.0184,98.4663,100.0,100.0,175.0
1.046,96.9325,100.0,100.0,176.0
1.0823,96.0366,100.0,100.0,177.0
1.3182,71.8182,100.0,100.0,178.0
1.6707,73.9837,96.1382,98.7805,179.0
1.0364,96.3636,100.0,100.0,180.0
1.6476,45.5321,100.0,100.0,181.0
1.5131,62.0482,99.2972,99.6988,182.0
2.0389,41.3174,99.7006,100.0,183.0
1.4641,55.6886,100.0,100.0,184.0
1.0719,97.3054,100.0,100.0,185.0
1.0,100.0,100.0,100.0,186.0
1.576,79.5322,95.3216,100.0,187.0
1.814,44.186,98.2558,100.0,188.0
1.4467,92.0543,97.1899,98.3527,189.0
2.5877,30.1357,95.2035,99.4186,190.0
1.1551,94.4123,98.8439,100.0,191.0
1.4942,73.8921,98.5549,100.0,192.0
1.5519,76.3136,99.0558,100.0,193.0
3.4027,19.3199,87.1743,97.7011,194.0
1.3937,77.8736,98.2759,100.0,195.0
1.4595,60.1156,100.0,100.0,196.0
1.4148,65.3409,100.0,100.0,197.0
1.5452,53.8606,100.0,100.0,198.0
1.4949,58.4181,99.3315,100.0,199.0
1.6064,74.4821,97.2693,99.3409,200.0
1.3558,73.2678,99.8596,100.0,201.0
3.18,57.2381,82.381,95.619,202.0
1.6798,57.8652,96.9101,100.0,203.0
1.324,88.2682,97.486,99.162,204.0
1.6369,55.8659,99.4413,100.0,205.0
1.0028,99.7222,100.0,100.0,206.0
2.9475,69.6133,82.3204,93.0939,207.0
1.0055,99.4475,100.0,100.0,208.0
1.0,100.0,100.0,100.0,209.0
1.772,51.9231,100.0,100.0,210.0
1.0,100.0,100.0,100.0,211.0
